Sample,Time(S),CH1(V),CH2(V)
260,-0.00134,-0.0798874,2.85997
261,-0.001339,-0.0798874,2.87595
262,-0.001338,-0.0798874,2.93986
263,-0.001337,-0.0798874,2.97181
264,-0.001336,-0.0798874,3.00376
265,-0.001335,-0.0798874,3.03572
266,-0.001334,-0.0798874,3.08365
267,-0.001333,-0.0798874,3.11561
268,-0.001332,-0.0798874,3.16354
269,-0.001331,-0.0798874,3.19549
270,-0.00133,-0.0798874,3.22745
271,-0.001329,-0.0798874,3.2594
272,-0.001328,-0.0798874,3.30734
273,-0.001327,-0.0798874,3.33929
274,-0.001326,-0.0798874,3.37125
275,-0.001325,-0.0798874,3.4032
276,-0.001324,-0.0798874,3.43516
277,-0.001323,-0.0798874,3.46711
278,-0.001322,-0.0798874,3.49907
279,-0.001321,-0.0798874,3.547
280,-0.00132,-0.0639099,3.57895
281,-0.001319,-0.0639099,3.59493
282,-0.001318,-0.0798874,3.64286
283,-0.001317,-0.0639099,3.67482
284,-0.001316,-0.0639099,3.6908
285,-0.001315,-0.0639099,3.72275
286,-0.001314,-0.0639099,3.73873
287,-0.001313,-0.0639099,3.78666
288,-0.001312,-0.0639099,3.78666
289,-0.001311,-0.0639099,3.85057
290,-0.00131,-0.0639099,3.86655
291,-0.001309,-0.0639099,3.8985
292,-0.001308,-0.0479324,3.93046
293,-0.001307,-0.0798874,3.94644
294,-0.001306,-0.0639099,3.97839
295,-0.001305,-0.0639099,4.02632
296,-0.001304,-0.0798874,4.02632
297,-0.001303,-0.0798874,4.07426
298,-0.001302,-0.0798874,4.07426
299,-0.001301,-0.0798874,4.10621
300,-0.0013,-0.0798874,4.13817
301,-0.001299,-0.0798874,4.13817
302,-0.001298,-0.0798874,4.13817
303,-0.001297,-0.0798874,4.1861
304,-0.001296,-0.0639099,4.1861
305,-0.001295,-0.0639099,4.20208
306,-0.001294,-0.0798874,4.21805
307,-0.001293,-0.0639099,4.21805
308,-0.001292,-0.0639099,4.21805
309,-0.001291,-0.0798874,4.21805
310,-0.00129,-0.0798874,4.20208
311,-0.001289,-0.0798874,4.25001
312,-0.001288,-0.0798874,4.21805
313,-0.001287,-0.0798874,4.21805
314,-0.001286,-0.0798874,4.21805
315,-0.001285,-0.0798874,4.21805
316,-0.001284,-0.0798874,4.21805
317,-0.001283,-0.0798874,4.21805
318,-0.001282,-0.0798874,4.21805
319,-0.001281,-0.0798874,4.21805
320,-0.00128,-0.0798874,4.21805
321,-0.001279,-0.0798874,4.21805
322,-0.001278,-0.0798874,4.21805
323,-0.001277,-0.0479324,4.21805
324,-0.001276,-0.0639099,4.21805
325,-0.001275,-0.0639099,4.21805
326,-0.001274,-0.0798874,4.21805
327,-0.001273,-0.0798874,4.21805
328,-0.001272,-0.0798874,4.21805
329,-0.001271,-0.0639099,4.21805
330,-0.00127,-0.0639099,4.21805
331,-0.001269,-0.0479324,4.21805
332,-0.001268,-0.0798874,4.21805
333,-0.001267,-0.0798874,4.21805
334,-0.001266,-0.0639099,4.21805
335,-0.001265,-0.0639099,4.21805
336,-0.001264,-0.0639099,4.21805
337,-0.001263,-0.0639099,4.21805
338,-0.001262,-0.0639099,4.21805
339,-0.001261,-0.0479324,4.21805
340,-0.00126,-0.0798874,4.21805
341,-0.001259,-0.0798874,4.21805
342,-0.001258,-0.0798874,4.21805
343,-0.001257,-0.0798874,4.21805
344,-0.001256,-0.0639099,4.21805
345,-0.001255,-0.0639099,4.21805
346,-0.001254,-0.0798874,4.21805
347,-0.001253,-0.0798874,4.21805
348,-0.001252,-0.0798874,4.21805
349,-0.001251,-0.0639099,4.21805
350,-0.00125,-0.0639099,4.21805
351,-0.001249,-0.0798874,4.21805
352,-0.001248,-0.0798874,4.21805
353,-0.001247,-0.0798874,4.21805
354,-0.001246,-0.0798874,4.21805
355,-0.001245,-0.0798874,4.1861
356,-0.001244,-0.0798874,4.21805
357,-0.001243,-0.0798874,4.1861
