
Sample,Time(S),CH1(V),OutPut Voltage(V)
540,-0.00258,0.26726,4.37638
541,-0.00257,0.217148,4.37638
542,-0.00256,0.150333,4.37638
543,-0.00255,0.0835186,4.37638
544,-0.00254,0.0167037,4.37638
545,-0.00253,-0.0334074,4.37638
546,-0.00252,-0.116926,4.37638
547,-0.00251,-0.150333,3.72493
548,-0.0025,-0.217148,2.255
549,-0.00249,-0.300667,0.785075
550,-0.00248,-0.350778,-0.668149
551,-0.00247,-0.400889,-2.15478
552,-0.00246,-0.434297,-3.62471
553,-0.00245,-0.517815,-4.54341
554,-0.00244,-0.567927,-4.54341
555,-0.00243,-0.618038,-4.52671
556,-0.00242,-0.684853,-4.51
557,-0.00241,-0.734964,-4.4933
558,-0.0024,-0.768371,-4.45989
559,-0.00239,-0.835186,-4.45989
560,-0.00238,-0.85189,-4.40978
561,-0.00237,-0.885297,-4.42649
562,-0.00236,-0.918705,-4.40978
563,-0.00235,-0.935408,-4.40978
564,-0.00234,-0.98552,-4.40978
565,-0.00233,-1.01893,-4.40978
566,-0.00232,-1.01893,-4.40978
567,-0.00231,-1.03563,-4.40978
568,-0.0023,-1.05233,-4.40978
569,-0.00229,-1.05233,-4.40978
570,-0.00228,-1.06904,-4.40978
571,-0.00227,-1.06904,-4.40978
572,-0.00226,-1.03563,-4.40978
573,-0.00225,-1.05233,-4.40978
574,-0.00224,-1.03563,-4.40978
575,-0.00223,-1.01893,-4.40978
576,-0.00222,-1.00222,-4.40978
577,-0.00221,-1.00222,-4.40978
578,-0.0022,-0.968816,-4.40978
579,-0.00219,-0.918705,-4.40978
580,-0.00218,-0.885297,-4.40978
581,-0.00217,-0.85189,-4.42649
582,-0.00216,-0.818482,-4.42649
583,-0.00215,-0.785075,-4.42649
584,-0.00214,-0.751667,-4.40978
585,-0.00213,-0.701556,-4.45989
586,-0.00212,-0.634741,-4.45989
587,-0.00211,-0.601334,-4.45989
588,-0.0021,-0.534519,-4.45989
589,-0.00209,-0.467704,-4.42649
590,-0.00208,-0.400889,-4.45989
591,-0.00207,-0.367482,-4.45989
592,-0.00206,-0.300667,-4.45989
593,-0.00205,-0.233852,-4.45989
594,-0.00204,-0.167037,-4.45989
595,-0.00203,-0.100222,-4.45989
596,-0.00202,-0.0668149,-4.4766
597,-0.00201,0,-4.32626
598,-0.002,0.0835186,-3.25723
599,-0.00199,0.116926,-2.12137
600,-0.00198,0.183741,-0.952112
601,-0.00197,0.26726,0.183741
602,-0.00196,0.317371,1.3363
603,-0.00195,0.367482,2.48885
604,-0.00194,0.417593,3.608
605,-0.00193,0.484408,4.4766
606,-0.00192,0.534519,4.45989
607,-0.00191,0.601334,4.44319
608,-0.0019,0.618038,4.44319
609,-0.00189,0.668149,4.40978
610,-0.00188,0.71826,4.40978
611,-0.00187,0.751667,4.37638
612,-0.00186,0.768371,4.39308
613,-0.00185,0.801779,4.39308
614,-0.00184,0.835186,4.39308
615,-0.00183,0.835186,4.39308
616,-0.00182,0.85189,4.35967
617,-0.00181,0.868594,4.35967
618,-0.0018,0.885297,4.39308
619,-0.00179,0.868594,4.37638
620,-0.00178,0.902001,4.37638
621,-0.00177,0.868594,4.37638
622,-0.00176,0.885297,4.37638
623,-0.00175,0.868594,4.37638
624,-0.00174,0.868594,4.37638
625,-0.00173,0.835186,4.35967
626,-0.00172,0.835186,4.37638
627,-0.00171,0.835186,4.37638
628,-0.0017,0.801779,4.37638
629,-0.00169,0.768371,4.37638
630,-0.00168,0.768371,4.37638
631,-0.00167,0.71826,4.37638
632,-0.00166,0.668149,4.37638
633,-0.00165,0.634741,4.37638
634,-0.00164,0.601334,4.37638
635,-0.00163,0.551223,4.37638
636,-0.00162,0.501112,4.37638
637,-0.00161,0.451,4.37638
638,-0.0016,0.384186,4.37638
639,-0.00159,0.334074,4.37638
640,-0.00158,0.26726,4.37638
641,-0.00157,0.217148,4.37638
642,-0.00156,0.150333,4.37638
643,-0.00155,0.0835186,4.37638
644,-0.00154,0.0167037,4.37638
645,-0.00153,-0.0334074,4.35967
646,-0.00152,-0.116926,4.39308
647,-0.00151,-0.150333,3.70823
648,-0.0015,-0.233852,2.27171
649,-0.00149,-0.300667,0.785075
650,-0.00148,-0.350778,-0.684853
651,-0.00147,-0.384186,-2.13808
652,-0.00146,-0.451,-3.64141
653,-0.00145,-0.517815,-4.52671
654,-0.00144,-0.567927,-4.54341
655,-0.00143,-0.618038,-4.52671
656,-0.00142,-0.668149,-4.51
657,-0.00141,-0.751667,-4.4933
658,-0.0014,-0.768371,-4.45989
659,-0.00139,-0.835186,-4.45989
660,-0.00138,-0.85189,-4.40978
