Second,Volt
1.7001021e-03,1.40000e+00,
1.8001021e-03,1.40000e+00,
1.9001020e-03,1.40000e+00,
2.0001021e-03,1.40000e+00,
2.1001021e-03,1.40000e+00,
2.2001022e-03,1.40000e+00,
2.3001023e-03,1.20000e+00,
2.4001023e-03,1.40000e+00,
2.5001024e-03,1.00000e+00,
2.6001025e-03,1.00000e+00,
2.7001025e-03,1.00000e+00,
2.8001026e-03,1.00000e+00,
2.9001026e-03,7.99999e-01,
3.0001027e-03,7.99999e-01,
3.1001028e-03,6.00000e-01,
3.2001028e-03,7.99999e-01,
3.3001029e-03,6.00000e-01,
3.4001030e-03,6.00000e-01,
3.5001030e-03,6.00000e-01,
3.6001031e-03,6.00000e-01,
3.7001031e-03,4.00000e-01,
3.8001032e-03,6.00000e-01,
3.9001033e-03,1.99999e-01,
4.0001031e-03,4.00000e-01,
4.1001029e-03,1.99999e-01,
4.2001028e-03,1.99999e-01,
4.3001026e-03,1.99999e-01,
4.4001024e-03,1.99999e-01,
4.5001023e-03,-0.00000e+00,
4.6001021e-03,-0.00000e+00,
4.7001019e-03,-0.00000e+00,
4.8001017e-03,-0.00000e+00,
4.9001016e-03,-2.00001e-01,
5.0001014e-03,-2.00001e-01,
5.1001012e-03,-2.00001e-01,
5.2001011e-03,-2.00001e-01,
5.3001009e-03,-2.00001e-01,
5.4001007e-03,-2.00001e-01,
5.5001006e-03,-6.00000e-01,
5.6001004e-03,-2.00001e-01,
5.7001002e-03,-8.00001e-01,
5.8001000e-03,-2.00001e-01,
5.9000999e-03,-8.00001e-01,
6.0000997e-03,-8.00001e-01,
6.1000995e-03,-1.00000e+00,
6.2000994e-03,-8.00001e-01,
6.3000992e-03,-1.00000e+00,
6.4000990e-03,-1.00000e+00,
6.5000989e-03,-1.20000e+00,
6.6000987e-03,-1.00000e+00,
6.7000985e-03,-1.20000e+00,
6.8000983e-03,-1.00000e+00,
6.9000982e-03,-1.20000e+00,
7.0000980e-03,-1.20000e+00,
7.1000978e-03,-1.20000e+00,
7.2000977e-03,-1.40000e+00,
7.3000975e-03,-1.20000e+00,
7.4000973e-03,-1.60000e+00,
7.5000972e-03,-1.40000e+00,
7.6000970e-03,-1.60000e+00,
7.7000968e-03,-1.60000e+00,
7.8000966e-03,-1.60000e+00,
7.9000965e-03,-1.80000e+00,
8.0000963e-03,-1.80000e+00,
8.1000961e-03,-1.60000e+00,
8.2000960e-03,-1.80000e+00,
8.3000958e-03,-2.00000e+00,
8.4000956e-03,-2.00000e+00,
8.5000955e-03,-2.00000e+00,
8.6000953e-03,-2.00000e+00,
8.7000951e-03,-1.60000e+00,
8.8000949e-03,-2.00000e+00,
8.9000948e-03,-1.60000e+00,
9.0000946e-03,-1.60000e+00,
9.1000944e-03,-1.20000e+00,
9.2000943e-03,-1.20000e+00,
9.3000941e-03,-6.00000e-01,
9.4000939e-03,-2.00001e-01,
9.5000938e-03,-6.00000e-01,
9.6000936e-03,-0.00000e+00,
9.7000934e-03,4.00000e-01,
9.8000932e-03,6.00000e-01,
9.9000931e-03,7.99999e-01,
1.0000093e-02,7.99999e-01,
1.0100093e-02,1.00000e+00,
1.0200093e-02,1.00000e+00,
1.0300092e-02,1.40000e+00,
1.0400092e-02,1.40000e+00,
1.0500092e-02,1.40000e+00,
1.0600092e-02,1.40000e+00,
1.0700092e-02,1.60000e+00,
1.0800092e-02,1.60000e+00,
1.0900091e-02,1.80000e+00,
1.1000091e-02,1.80000e+00,
1.1100091e-02,1.60000e+00,
1.1200091e-02,1.80000e+00,
1.1300091e-02,1.60000e+00,
1.1400091e-02,1.60000e+00,
1.1500090e-02,1.40000e+00,
1.1600090e-02,1.60000e+00,
1.1700090e-02,1.40000e+00,
1.1800090e-02,1.40000e+00,
1.1900090e-02,1.60000e+00,
1.2000090e-02,1.40000e+00,
1.2100089e-02,1.20000e+00,
1.2200089e-02,1.40000e+00,
1.2300089e-02,1.20000e+00,
1.2400089e-02,1.40000e+00,
1.2500089e-02,1.00000e+00,
1.2600088e-02,1.00000e+00,
1.2700088e-02,7.99999e-01,
1.2800088e-02,1.00000e+00,
1.2900088e-02,7.99999e-01,
1.3000088e-02,7.99999e-01,
1.3100088e-02,6.00000e-01,
1.3200087e-02,7.99999e-01,
1.3300087e-02,6.00000e-01,
1.3400087e-02,6.00000e-01,
1.3500087e-02,6.00000e-01,
1.3600087e-02,6.00000e-01,
1.3700087e-02,4.00000e-01,
1.3800086e-02,6.00000e-01,
1.3900086e-02,1.99999e-01,
1.4000086e-02,1.99999e-01,
1.4100086e-02,4.00000e-01,
1.4200086e-02,1.99999e-01,
1.4300086e-02,-0.00000e+00,
1.4400085e-02,1.99999e-01,
1.4500085e-02,-0.00000e+00,
1.4600085e-02,-2.00001e-01,
1.4700085e-02,-0.00000e+00,
1.4800085e-02,-0.00000e+00,
1.4900085e-02,-2.00001e-01,
1.5000084e-02,-2.00001e-01,
1.5100084e-02,-2.00001e-01,
1.5200084e-02,-2.00001e-01,
1.5300084e-02,-6.00000e-01,
1.5400084e-02,-2.00001e-01,
1.5500084e-02,-6.00000e-01,
1.5600083e-02,-2.00001e-01,
1.5700083e-02,-8.00001e-01,
1.5800083e-02,-8.00001e-01,
1.5900083e-02,-8.00001e-01,
1.6000083e-02,-8.00001e-01,
1.6100083e-02,-1.00000e+00,
1.6200082e-02,-1.00000e+00,
1.6300082e-02,-1.20000e+00,
1.6400082e-02,-1.00000e+00,
1.6500082e-02,-1.20000e+00,
1.6600082e-02,-1.20000e+00,
1.6700082e-02,-1.00000e+00,
1.6800081e-02,-1.20000e+00,
