Sample,Time(S),CH1(V),CH2(V)
632,-0.00166,0.835186,0.85189
633,-0.00165,0.785075,0.835186
634,-0.00164,0.768371,0.801779
635,-0.00163,0.734964,0.785075
636,-0.00162,0.668149,0.701556
637,-0.00161,0.634741,0.668149
638,-0.0016,0.601334,0.651445
639,-0.00159,0.567927,0.58463
640,-0.00158,0.484408,0.551223
641,-0.00157,0.434297,0.501112
642,-0.00156,0.384186,0.434297
643,-0.00155,0.334074,0.367482
644,-0.00154,0.283963,0.317371
645,-0.00153,0.200445,0.26726
646,-0.00152,0.150333,0.183741
647,-0.00151,0.100222,0.116926
648,-0.0015,0.0334074,0.0835186
649,-0.00149,-0.0501112,0
650,-0.00148,-0.100222,-0.0668149
651,-0.00147,-0.167037,-0.100222
652,-0.00146,-0.200445,-0.183741
653,-0.00145,-0.283963,-0.217148
654,-0.00144,-0.350778,-0.300667
655,-0.00143,-0.384186,-0.367482
656,-0.00142,-0.451,-0.417593
657,-0.00141,-0.534519,-0.451
658,-0.0014,-0.58463,-0.534519
659,-0.00139,-0.618038,-0.58463
660,-0.00138,-0.668149,-0.651445
661,-0.00137,-0.751667,-0.684853
662,-0.00136,-0.768371,-0.71826
663,-0.00135,-0.835186,-0.785075
664,-0.00134,-0.85189,-0.818482
665,-0.00133,-0.885297,-0.85189
666,-0.00132,-0.918705,-0.885297
667,-0.00131,-0.968816,-0.902001
668,-0.0013,-1.00222,-0.952112
669,-0.00129,-1.00222,-0.952112
670,-0.00128,-1.03563,-0.968816
671,-0.00127,-1.05233,-1.01893
672,-0.00126,-1.06904,-1.01893
673,-0.00125,-1.06904,-1.03563
674,-0.00124,-1.06904,-1.03563
675,-0.00123,-1.06904,-1.03563
676,-0.00122,-1.06904,-1.03563
677,-0.00121,-1.06904,-1.01893
678,-0.0012,-1.05233,-1.01893
679,-0.00119,-1.03563,-0.968816
680,-0.00118,-1.00222,-0.968816
681,-0.00117,-1.00222,-0.935408
682,-0.00116,-0.968816,-0.902001
683,-0.00115,-0.918705,-0.902001
684,-0.00114,-0.885297,-0.85189
685,-0.00113,-0.85189,-0.818482
686,-0.00112,-0.818482,-0.785075
687,-0.00111,-0.785075,-0.734964
688,-0.0011,-0.751667,-0.701556
689,-0.00109,-0.701556,-0.668149
690,-0.00108,-0.634741,-0.601334
691,-0.00107,-0.601334,-0.551223
692,-0.00106,-0.551223,-0.484408
693,-0.00105,-0.451,-0.417593
694,-0.00104,-0.417593,-0.384186
695,-0.00103,-0.367482,-0.317371
696,-0.00102,-0.300667,-0.26726
697,-0.00101,-0.233852,-0.183741
698,-0.001,-0.167037,-0.116926
699,-0.00099,-0.100222,-0.0835186
700,-0.00098,-0.0668149,-0.0334074
701,-0.00097,0.0334074,0.0501112
702,-0.00096,0.0668149,0.116926
703,-0.00095,0.13363,0.183741
704,-0.00094,0.200445,0.217148
705,-0.00093,0.250556,0.300667
706,-0.00092,0.317371,0.350778
