Sample,Time(S),CH1(V),CH2(V)
457,-0.003543,-0.0798874,4.21805
458,-0.003542,-0.0798874,4.21805
459,-0.003541,-0.0798874,4.21805
460,-0.00354,-0.0639099,4.21805
461,-0.003539,-0.0639099,4.21805
462,-0.003538,-0.0798874,4.21805
463,-0.003537,-0.0798874,4.21805
464,-0.003536,-0.0798874,4.21805
465,-0.003535,-0.0639099,4.21805
466,-0.003534,-0.0958648,4.21805
467,-0.003533,-0.0639099,4.21805
468,-0.003532,-0.0798874,4.21805
469,-0.003531,-0.0798874,4.21805
470,-0.00353,-0.0639099,4.21805
471,-0.003529,-0.0958648,4.21805
472,-0.003528,-0.0639099,4.21805
473,-0.003527,-0.0798874,4.21805
474,-0.003526,-0.0798874,4.21805
475,-0.003525,-0.0639099,4.21805
476,-0.003524,-0.0798874,4.21805
477,-0.003523,-0.0639099,4.21805
478,-0.003522,-0.0958648,4.21805
479,-0.003521,-0.0639099,4.20208
480,-0.00352,-0.0958648,4.25001
481,-0.003519,-0.0798874,4.21805
482,-0.003518,-0.0958648,4.21805
483,-0.003517,-0.0798874,4.21805
484,-0.003516,-0.0798874,4.21805
485,-0.003515,-0.0958648,4.21805
486,-0.003514,-0.0798874,4.21805
487,-0.003513,-0.0798874,4.21805
488,-0.003512,-0.0798874,4.21805
489,-0.003511,-0.0798874,4.21805
490,-0.00351,-0.0798874,4.21805
491,-0.003509,-0.0958648,4.21805
492,-0.003508,-0.0639099,4.21805
493,-0.003507,-0.0639099,4.21805
494,-0.003506,-0.0958648,4.20208
495,-0.003505,-0.0958648,4.21805
496,-0.003504,-0.0639099,4.21805
497,-0.003503,-0.0958648,4.21805
498,-0.003502,-0.0958648,4.21805
499,-0.003501,-0.0798874,4.21805
500,-0.0035,-0.0958648,4.21805
501,-0.003499,-0.0639099,4.21805
502,-0.003498,-0.0798874,4.21805
503,-0.003497,-0.0639099,4.21805
504,-0.003496,-0.0958648,4.21805
505,-0.003495,-0.0958648,4.21805
506,-0.003494,-0.0958648,4.21805
507,-0.003493,-0.0958648,4.21805
508,-0.003492,-0.0798874,4.21805
509,-0.003491,-0.0798874,4.21805
510,-0.00349,-0.0798874,4.21805
511,-0.003489,-0.0798874,4.25001
512,-0.003488,-0.0798874,4.25001
513,-0.003487,-0.0798874,4.20208
514,-0.003486,-0.0798874,4.21805
515,-0.003485,-0.0798874,4.20208
516,-0.003484,-0.0639099,4.26599
517,-0.003483,-0.0958648,4.21805
518,-0.003482,-0.0798874,4.21805
519,-0.003481,-0.0798874,4.21805
520,-0.00348,-0.0798874,4.21805
521,-0.003479,-0.0798874,4.21805
522,-0.003478,-0.0958648,4.21805
523,-0.003477,-0.0639099,4.21805
524,-0.003476,-0.0639099,4.21805
525,-0.003475,-0.0958648,4.21805
526,-0.003474,-0.0639099,4.21805
527,-0.003473,-0.0798874,4.21805
528,-0.003472,-0.0798874,4.21805
529,-0.003471,-0.0798874,4.21805
530,-0.00347,-0.0798874,4.21805
531,-0.003469,-0.0798874,4.21805
532,-0.003468,-0.0798874,4.25001
533,-0.003467,-0.0798874,4.20208
534,-0.003466,-0.0798874,4.21805
535,-0.003465,-0.0798874,4.20208
536,-0.003464,-0.0798874,4.25001
537,-0.003463,-0.0798874,4.25001
538,-0.003462,-0.0958648,4.25001
539,-0.003461,-0.0958648,4.20208
540,-0.00346,-0.0958648,4.21805
541,-0.003459,-0.0639099,4.21805
542,-0.003458,-0.0798874,4.20208
543,-0.003457,-0.0798874,4.25001
544,-0.003456,-0.0798874,4.25001
545,-0.003455,-0.0639099,4.25001
546,-0.003454,-0.0798874,4.21805
547,-0.003453,-0.0798874,4.21805
548,-0.003452,-0.0798874,4.20208
549,-0.003451,-0.0798874,4.25001
550,-0.00345,-0.0798874,4.21805
551,-0.003449,-0.0798874,4.21805
552,-0.003448,-0.0798874,4.21805
553,-0.003447,-0.0798874,4.21805
554,-0.003446,-0.0798874,4.21805
555,-0.003445,-0.0958648,4.21805
556,-0.003444,-0.0958648,4.25001
557,-0.003443,-0.0798874,4.25001
558,-0.003442,-0.0958648,4.25001
559,-0.003441,-0.0639099,4.25001
560,-0.00344,-0.0798874,4.25001
561,-0.003439,-0.0798874,4.25001
562,-0.003438,-0.0798874,4.25001
563,-0.003437,-0.0798874,4.21805
564,-0.003436,-0.0639099,4.21805
565,-0.003435,-0.0798874,4.20208
566,-0.003434,-0.0798874,4.25001
567,-0.003433,-0.0798874,4.21805
568,-0.003432,-0.0798874,4.20208
569,-0.003431,-0.0639099,4.25001
570,-0.00343,-0.0798874,4.21805
571,-0.003429,-0.0798874,4.25001
572,-0.003428,-0.0798874,4.25001
573,-0.003427,-0.0798874,4.21805
574,-0.003426,-0.0798874,4.21805
575,-0.003425,-0.0958648,4.21805
576,-0.003424,-0.0639099,4.25001
577,-0.003423,-0.0798874,4.25001
578,-0.003422,-0.0639099,4.25001
579,-0.003421,-0.0958648,4.25001
580,-0.00342,-0.0798874,4.25001
581,-0.003419,-0.0798874,4.25001
582,-0.003418,-0.0798874,4.21805
583,-0.003417,-0.0798874,4.25001
584,-0.003416,-0.0639099,4.21805
585,-0.003415,-0.0798874,4.25001
586,-0.003414,-0.0639099,4.25001
587,-0.003413,-0.0958648,4.25001
588,-0.003412,-0.0798874,4.25001
589,-0.003411,-0.0798874,4.25001
590,-0.00341,-0.0798874,4.25001
591,-0.003409,-0.0639099,4.25001
592,-0.003408,-0.0798874,4.25001
593,-0.003407,-0.0639099,4.25001
594,-0.003406,-0.0798874,4.21805
595,-0.003405,-0.0798874,4.21805
596,-0.003404,-0.0798874,4.25001
597,-0.003403,-0.0798874,4.25001
598,-0.003402,-0.0639099,4.25001
599,-0.003401,-0.0958648,4.25001
600,-0.0034,-0.0798874,4.25001
601,-0.003399,-0.0798874,4.25001
602,-0.003398,-0.0798874,4.25001
603,-0.003397,-0.0798874,4.25001
604,-0.003396,-0.0639099,4.25001
605,-0.003395,-0.0958648,4.25001
606,-0.003394,-0.0958648,4.25001
607,-0.003393,-0.0798874,4.25001
608,-0.003392,-0.0639099,4.25001
609,-0.003391,-0.0798874,4.21805
610,-0.00339,-0.0798874,4.26599
611,-0.003389,-0.0798874,4.25001
612,-0.003388,-0.0798874,4.25001
613,-0.003387,-0.0639099,4.25001
614,-0.003386,-0.0798874,4.25001
615,-0.003385,-0.0639099,4.25001
616,-0.003384,-0.0798874,4.25001
617,-0.003383,-0.0798874,4.25001
618,-0.003382,-0.0798874,4.25001
619,-0.003381,-0.0798874,4.25001
620,-0.00338,-0.0798874,4.25001
621,-0.003379,-0.0798874,4.25001
622,-0.003378,-0.0798874,4.25001
623,-0.003377,-0.0798874,4.25001
624,-0.003376,-0.0798874,4.25001
625,-0.003375,-0.0798874,4.25001
626,-0.003374,-0.0798874,4.21805
627,-0.003373,-0.0798874,4.26599
628,-0.003372,-0.0798874,4.25001
629,-0.003371,-0.0798874,4.25001
